ExCuSe,Dummy
0.0,302.0
1.1999999999999886,300.8
1.3999999999999773,300.6
1.6000000000000227,300.4
0.19999999999998863,300.2
2.0,300.0
0.0,300.0
1.0,300.0
0.0,300.0
2.0,300.0
0.0,300.0
0.19999999999998863,299.8
0.4000000000000057,299.6
0.4000000000000057,299.4
0.8000000000000114,299.2
1.0,299.0
0.39999999999997726,298.6
0.799999999999983,298.20000000000005
3.200000000000017,297.79999999999995
2.6000000000000227,297.4
2.0,297.0
0.8000000000000114,297.2
0.6000000000000227,297.4
0.39999999999997726,297.6
1.1999999999999886,297.8
1.0,298.0
1.0,298.0
0.9999999999999716,298.0
1.0000000000000284,298.0
0.0,298.0
3.0,298.0
1.4000000000000057,298.6
0.8000000000000114,299.2
2.1999999999999886,299.8
0.5999999999999943,300.4
1.0,301.0
0.19999999999998863,301.8
1.4000000000000057,302.6
1.5999999999999943,303.4
105.80000000000001,304.2
0.0,305.0
3.400000000000034,306.59999999999997
2.799999999999983,308.20000000000005
20.200000000000017,309.79999999999995
3.599999999999966,311.40000000000003
3.0,313.0
2.3999999999999773,315.6
101.79999999999998,318.20000000000005
2.200000000000017,320.79999999999995
86.60000000000002,323.4
3.0,326.0
90.6,329.4
82.0,338.0
79.0,341.0
1.0,344.0
7.0,343.0
7.199999999999989,344.2
0.6000000000000227,345.4
6.600000000000023,346.6
7.800000000000011,347.8
91.0,349.0
1.1999999999999886,350.8
97.4,352.6
95.6,354.4
83.80000000000001,356.2
72.0,358.0
86.0,364.0
11.0,371.0
3.0,373.0
20.0,370.0
97.0,373.0
76.00000000000003,374.0
75.0,375.0
16.0,376.0
72.99999999999997,377.0
18.0,378.0
71.00000000000003,379.0
80.0,380.0
11.0,381.0
77.99999999999997,382.0
77.0,383.0
76.6,383.4
76.19999999999999,383.8
5.800000000000011,384.2
75.4,384.6
55.0,385.0
75.19999999999999,384.8
14.599999999999994,384.6
5.599999999999994,384.4
65.80000000000001,384.2
76.0,384.0
76.0,384.0
56.00000000000003,384.0
45.99999999999997,384.0
46.0,384.0
56.0,384.0
56.20000000000002,383.79999999999995
36.39999999999998,383.6
46.60000000000002,383.4
46.79999999999998,383.20000000000005
27.0,383.0
27.0,383.0
6.999999999999972,383.0
7.000000000000028,383.0
47.0,383.0
45.0,386.0
45.0,385.0
42.0,382.0
19.0,381.0
45.0,381.0
27.0,383.0
58.0,382.0
44.12000000000003,381.12
29.43999999999997,380.56000000000006
28.25,381.75
42.289999999999964,377.71000000000004
42.140000000000015,382.14
31.700000000000017,378.29999999999995
57.110000000000014,372.89
34.130000000000024,364.13
33.389999999999986,362.39
24.560000000000002,365.44
24.669999999999987,365.33000000000004
47.06000000000003,362.93999999999994
40.889999999999986,359.11
39.29000000000002,360.71
39.76000000000002,360.24
50.33000000000001,359.66999999999996
58.00000000000003,352.0
49.0,351.0
60.0,350.0
41.20000000000002,348.79999999999995
52.39999999999998,347.6
3.6000000000000227,346.4
4.799999999999983,345.20000000000005
36.0,344.0
27.80000000000001,342.2
16.400000000000006,340.4
14.599999999999994,338.6
13.800000000000011,336.8
45.0,335.0
12.0,333.0
49.0,331.0
12.0,329.0
9.0,327.0
35.0,325.0
37.39999999999998,322.6
0.19999999999998863,320.2
2.1999999999999886,317.8
4.600000000000023,315.4
7.0,313.0
1.3999999999999773,311.4
1.8000000000000114,309.8
0.19999999999998863,308.2
4.399999999999977,306.6
2.0,305.0
2.6000000000000227,303.4
8.199999999999989,301.8
2.8000000000000114,300.2
4.399999999999977,298.6
13.0,297.0
6.200000000000017,294.79999999999995
8.399999999999977,292.6
9.600000000000023,290.4
11.799999999999983,288.20000000000005
6.0,286.0
16.0,287.0
11.0,289.0
9.0,289.0
7.0,288.0
8.0,286.0
14.0,284.0
12.0,282.0
2.5999999999999943,282.6
0.19999999999998863,279.8
14.0,277.0
1.6000000000000227,278.4
11.199999999999989,279.8
1.0,281.0
9.0,282.0
10.0,280.0
9.0,282.0
31.0,279.0
12.0,277.0
15.0,276.0
30.0,274.0
17.400000000000034,274.59999999999997
15.799999999999983,275.20000000000005
17.200000000000017,275.79999999999995
15.599999999999966,276.40000000000003
3.0,277.0
3.0,277.0
15.0,277.0
3.0,277.0
19.0,277.0
3.0,277.0
18.399999999999977,277.6
17.80000000000001,278.2
19.19999999999999,278.8
0.6000000000000227,279.4
0.0,280.0
10.199999999999989,279.8
0.39999999999997726,279.6
0.6000000000000227,279.4
16.80000000000001,279.2
1.0,279.0
1.1999999999999886,278.8
17.399999999999977,278.6
1.6000000000000227,278.4
1.8000000000000114,278.2
2.0,278.0
15.600000000000023,276.4
35.19999999999999,274.8
18.80000000000001,273.2
17.399999999999977,271.6
20.0,270.0
56.0,264.0
29.0,257.0
44.0,257.0
53.0,257.0
33.0,255.0
20.600000000000023,255.39999999999998
32.19999999999999,255.8
53.80000000000001,256.2
50.39999999999998,256.6
27.0,257.0
0.19999999999998863,256.8
0.39999999999997726,256.6
0.6000000000000227,256.4
0.8000000000000114,256.2
1.0,256.0
1.799999999999983,255.79999999999998
0.39999999999997726,255.60000000000002
0.6000000000000227,255.39999999999998
0.20000000000001705,255.20000000000002
0.0,255.0
0.19999999999998863,254.2
1.6000000000000227,253.39999999999998
2.3999999999999773,252.60000000000002
2.1999999999999886,251.8
4.0,251.0
11.600000000000023,250.60000000000002
1.200000000000017,250.20000000000002
2.200000000000017,249.79999999999998
3.6000000000000227,249.39999999999998
4.0,249.0
0.6000000000000227,249.39999999999998
2.1999999999999886,249.8
2.8000000000000114,250.2
2.3999999999999773,250.60000000000002
3.0,251.0
3.1999999999999886,250.8
2.4000000000000057,250.6
2.5999999999999943,250.4
1.8000000000000114,250.2
5.0,250.0
7.599999999999994,251.6
0.8000000000000114,253.2
0.8000000000000114,254.8
0.5999999999999943,256.4
2.0,258.0
3.0,262.0
2.0,261.0
12.0,266.0
13.0,267.0
13.0,278.0
1.0,293.0
0.0,296.0
3.0,299.0
3.3999999999999773,295.6
1.0,300.0
1.0,302.0
1.0,304.0
1.0,306.0
2.0,308.0
1.0,310.0
1.8000000000000114,312.2
1.6000000000000227,314.4
1.3999999999999773,316.6
2.1999999999999886,318.8
1.0,321.0
1.0000000000000284,323.0
2.0,325.0
2.0,327.0
1.9999999999999716,329.0
1.0,331.0
0.4000000000000057,332.6
0.8000000000000114,334.2
0.19999999999998863,335.8
0.5999999999999943,337.4
1.0,339.0
1.1999999999999886,340.2
0.5999999999999943,341.4
1.4000000000000057,342.6
3.1999999999999886,343.8
1.0,345.0
1.1999999999999886,345.8
2.3999999999999773,346.6
1.6000000000000227,347.4
1.8000000000000114,348.2
3.0,349.0
1.400000000000034,349.59999999999997
1.799999999999983,350.20000000000005
2.200000000000017,350.79999999999995
1.599999999999966,351.40000000000003
2.0,352.0
2.6000000000000227,352.4
2.1999999999999886,352.8
0.8000000000000114,353.2
2.3999999999999773,353.6
3.0,354.0
1.5999999999999943,354.4
2.1999999999999886,354.8
1.8000000000000114,355.2
