ExCuSe,Dummy
15.0,335.0
184.8,335.2
174.6,335.4
87.6,335.6
82.80000000000001,335.8
184.0,336.0
193.39999999999998,336.6
172.79999999999998,337.20000000000005
192.20000000000002,337.79999999999995
191.60000000000002,338.4
181.0,339.0
180.39999999999998,339.6
189.79999999999998,340.20000000000005
179.20000000000002,340.79999999999995
188.60000000000002,341.4
178.0,342.0
158.39999999999998,341.6
178.8,341.2
189.2,340.8
189.60000000000002,340.4
180.0,340.0
180.2,339.8
180.39999999999998,339.6
88.39999999999998,339.4
190.8,339.2
171.0,339.0
180.8,339.2
180.60000000000002,339.4
190.39999999999998,339.6
190.2,339.8
190.0,340.0
190.60000000000002,339.4
181.20000000000002,338.79999999999995
191.79999999999998,338.20000000000005
182.39999999999998,337.6
183.0,337.0
88.19999999999999,337.2
182.6,337.4
182.4,337.6
182.2,337.8
172.0,338.0
172.2,337.8
172.39999999999998,337.6
192.60000000000002,337.4
172.8,337.2
193.0,337.0
192.4,337.6
181.8,338.2
191.2,338.8
190.6,339.4
180.0,340.0
88.0,340.0
189.99999999999997,340.0
190.00000000000003,340.0
190.0,340.0
190.0,340.0
189.00000000000003,341.0
188.0,342.0
88.0,343.0
195.99999999999997,344.0
185.0,345.0
187.2,345.2
194.6,345.4
204.4,345.6
194.2,345.8
194.0,346.0
200.8,349.2
167.60000000000002,352.4
194.39999999999998,355.6
331.2,358.8
338.0,362.0
316.6,363.4
335.2,364.8
333.8,366.2
332.4,367.6
321.0,369.0
329.6,370.4
338.2,371.8
336.8,373.2
335.4,374.6
334.0,376.0
333.2,376.8
322.4,377.6
331.6,378.4
330.8,379.2
320.0,380.0
75.20000000000002,381.20000000000005
283.4,382.4
76.60000000000002,383.6
80.79999999999998,384.79999999999995
324.0,386.0
311.79999999999995,388.20000000000005
319.6,390.4
317.4,392.6
290.79999999999995,394.79999999999995
313.0,397.0
314.74,385.26
326.64,383.36
323.4,386.6
312.8,387.2
323.71,386.29
311.95000000000005,388.04999999999995
322.21999999999997,387.78000000000003
285.1,389.1
312.18999999999994,387.81000000000006
320.70000000000005,389.29999999999995
320.34000000000003,389.65999999999997
322.78999999999996,387.21000000000004
324.57,385.43
315.0,395.0
321.0,389.0
320.6,389.4
320.2,389.8
319.8,390.2
319.4,390.6
319.0,391.0
318.2,391.8
317.4,392.6
68.39999999999998,393.4
315.8,394.2
315.0,395.0
295.6,394.6
315.79999999999995,394.20000000000005
83.79999999999998,393.79999999999995
86.39999999999998,393.4
78.0,393.0
316.2,393.8
315.4,394.6
314.6,395.4
84.19999999999999,396.2
313.0,397.0
77.60000000000002,395.6
81.20000000000002,394.20000000000005
84.79999999999998,392.79999999999995
318.6,391.4
320.0,390.0
78.80000000000001,389.8
68.6,389.6
67.4,389.4
320.8,389.2
321.0,389.0
320.4,389.6
319.8,390.2
82.80000000000001,390.8
81.39999999999998,391.4
318.0,392.0
319.0,391.0
320.0,390.0
321.0,389.0
80.0,388.0
83.0,387.0
322.8,387.2
34.400000000000006,387.4
48.599999999999994,387.6
83.80000000000001,387.8
322.0,388.0
323.0,387.0
324.0,386.0
325.0,385.0
316.0,384.0
327.0,383.0
328.0,382.0
80.00000000000003,381.0
330.0,380.0
331.0,379.0
332.0,378.0
182.79999999999998,377.20000000000005
333.59999999999997,376.40000000000003
334.40000000000003,375.59999999999997
335.20000000000005,374.79999999999995
336.0,374.0
337.79999999999995,372.20000000000005
339.6,370.4
341.4,368.6
343.20000000000005,366.79999999999995
345.0,365.0
356.58000000000004,353.41999999999996
242.58,352.58000000000004
230.09,350.09000000000003
218.23000000000002,348.23
359.3,350.7
365.21,344.79
364.40999999999997,345.59000000000003
213.70000000000002,343.70000000000005
235.5,345.5
205.45000000000002,335.45000000000005
204.83999999999997,334.84
204.51999999999998,334.52
201.29999999999998,331.29999999999995
219.94000000000003,329.94000000000005
202.0,322.0
210.20000000000002,320.20000000000005
198.39999999999998,318.4
206.60000000000002,316.6
194.79999999999998,314.79999999999995
203.0,313.0
181.2,311.2
199.39999999999998,309.4
177.60000000000002,307.6
195.8,305.8
174.0,304.0
172.6,302.6
191.2,301.2
169.8,299.8
188.4,298.4
167.0,297.0
165.8,295.8
164.6,294.6
173.4,293.4
182.2,292.2
161.0,291.0
150.2,290.2
159.39999999999998,289.4
148.60000000000002,288.6
157.8,287.8
157.0,287.0
156.60000000000002,286.6
146.2,286.2
155.8,285.8
155.39999999999998,285.4
155.0,285.0
174.60000000000002,284.6
